player_id,theta
15,-0.346468
35,-0.222393
38,-1.327019
47,-0.261387
65,-2.525383
80,0.914692
82,-0.109913
99,-0.002191
112,-0.464643
113,-1.254347
117,0.249025
119,-0.557934
133,0.22116
136,-0.868677
144,0.250144
150,-0.003132
176,0.332422
178,-0.708378
182,0.139576
232,-0.973454
278,1.453254
315,-0.009484
323,0.051669
328,0.508034
330,-0.566225
376,0.023391
379,-0.515592
385,-0.538853
397,1.003006
398,-0.515683
409,-0.297951
419,0.201706
441,-1.206281
445,-0.395214
453,-0.443267
457,0.439747
474,0.231726
475,0.574282
487,0.416235
489,0.183208
490,-1.756054
505,0.546929
535,0.475784
537,-0.144103
576,-0.599389
599,-0.698311
623,-1.313392
641,-3.065335
643,-0.733949
644,-0.557243
658,-0.078224
668,-1.512205
670,-0.893956
680,0.289686
683,-0.825843
691,-0.671332
696,0.257451
699,-1.413967
712,-2.144197
716,-1.413967
747,0.831829
781,-0.287523
803,0.456475
822,-2.075869
849,0.539256
856,0.004184
860,0.39118
885,0.163519
902,0.00622
904,0.284723
908,-0.595338
932,0.559649
950,0.06297
958,0.089036
1000,0.159249
1001,0.825793
1022,-0.789523
1033,0.005542
1042,-3.134587
1043,0.667131
1050,0.065422
1055,0.129533
1062,0.201488
1068,0.049561
1076,-0.477176
1123,0.317107
1136,-4.367286
1137,0.269534
1145,-1.790236
1157,-0.459939
1197,-2.388805
1215,-0.604789
1218,-0.473713
1246,-2.740552
1261,-0.465773
1284,-0.193888
1305,0.263427
1340,-1.563124
1344,0.317954
1345,-2.741761
1348,-1.738073
1349,-0.960291
1350,-0.070226
1351,-1.279489
1352,-1.049882
1354,0.080122
1364,0.222557
1369,-0.312591
1370,-0.566759
1372,-0.172942
1387,0.106633
1424,-0.084196
1425,-2.688068
1432,-0.731686
1433,-0.521131
1444,-1.445785
1454,-0.468293
1468,0.357214
1472,-2.834048
1487,-1.404928
1506,-1.103918
1511,-2.031189
1513,0.054021
1516,-1.930458
1531,0.126577
1562,0.308512
1581,-0.068581
1584,-0.067188
1585,0.592292
1599,0.103928
1619,-5.66029
1625,0.066176
1632,-2.649912
1672,-0.421834
1681,-0.503948
1683,-1.725402
1706,-0.059418
1732,0.509915
1743,-0.029762
1752,0.127984
1756,-0.138874
