player_id,theta
15,-0.34766
35,-0.224623
38,-1.33176
47,-0.260697
65,-2.518858
80,0.902666
82,-0.082611
99,-0.037557
112,-0.463224
113,-1.295838
117,0.24327
119,-0.573814
133,0.22002
136,-0.870707
144,0.240479
150,-0.021586
176,0.334738
178,-0.714916
182,0.140224
232,-0.972938
278,1.450453
315,-0.010313
323,0.052297
328,0.515797
330,-0.56894
376,0.037923
379,-0.516912
385,-0.539299
397,1.005647
398,-0.507845
409,-0.300526
419,0.181626
441,-1.207466
445,-0.394678
453,-0.44231
457,0.439606
474,0.232045
475,0.562763
487,0.431877
489,0.17979
490,-1.755337
505,0.546442
535,0.484875
537,-0.144608
576,-0.599483
599,-0.692996
623,-1.353174
641,-2.947777
643,-0.741367
644,-0.575761
658,-0.076643
668,-1.486271
670,-0.894021
680,0.282623
683,-0.857273
691,-0.666684
696,0.247321
699,-1.413423
712,-2.132865
716,-1.413423
747,0.836507
781,-0.28163
803,0.458697
822,-2.0973
849,0.539322
856,0.006336
860,0.386606
885,0.157002
902,0.005808
904,0.297932
908,-0.623914
932,0.595712
950,0.05559
958,0.085847
1000,0.1608
1001,0.82735
1022,-0.800287
1033,0.011983
1042,-3.132527
1043,0.662192
1050,0.08734
1055,0.129174
1062,0.203722
1068,0.049155
1076,-0.483253
1123,0.316918
1136,-4.38574
1137,0.263957
1145,-1.675879
1157,-0.46355
1197,-2.395991
1215,-0.599477
1218,-0.479463
1246,-2.750499
1261,-0.463038
1284,-0.190335
1305,0.251433
1340,-1.552639
1344,0.335512
1345,-2.740143
1348,-1.73807
1349,-0.970252
1350,-0.060667
1351,-1.289095
1352,-1.005805
1354,0.076075
1364,0.206402
1369,-0.350051
1370,-0.568547
1372,-0.166659
1387,0.08017
1424,-0.085549
1425,-2.697491
1432,-0.735526
1433,-0.518945
1444,-1.447403
1454,-0.466663
1468,0.353452
1472,-2.877084
1487,-1.39567
1506,-1.078194
1511,-2.055562
1513,0.056853
1516,-1.92672
1531,0.1302
1562,0.313131
1581,-0.065434
1584,-0.071064
1585,0.510098
1599,0.100452
1619,-5.666574
1625,0.088538
1632,-2.634722
1672,-0.415042
1681,-0.509651
1683,-1.726388
1706,-0.057449
1732,0.500253
1743,-0.029166
1752,0.13529
1756,-0.111198
1791,-2.131115
1804,-1.764899
1809,-1.862591
1871,-1.878972
1894,0.084578
1902,0.325049
1907,1.158826
1919,-0.363542
1940,-0.028873
1948,-0.038756
1964,-1.28415
1966,-0.042332
1970,0.453748
1981,-1.776863
1983,-0.017632
2001,-0.057922
2004,-0.396671
2005,0.391609
2013,-0.867219
2027,0.226567
2031,-0.488666
2033,-0.380782
2051,-0.193538
2054,-0.989733
2065,0.053252
2066,-0.867401
2077,0.135582
