player_id,theta
15,-0.342243
35,-0.234507
38,-1.316787
47,-0.262885
65,-2.501533
80,0.864325
82,-0.108152
99,-0.06401
112,-0.461439
113,-1.479451
117,0.228081
119,-0.613218
133,0.24902
136,-0.877347
144,0.247285
150,-0.020367
176,0.336526
178,-0.706749
182,0.144996
232,-0.986165
278,1.448317
315,-0.010701
323,0.041984
328,0.509716
330,-0.565719
376,0.034869
379,-0.559679
385,-0.538066
397,1.157418
398,-0.517615
409,-0.312996
419,0.140852
441,-1.200763
445,-0.399138
453,-0.440089
457,0.456692
474,0.22963
475,0.549145
487,0.432281
489,0.184612
490,-1.666302
505,0.5374
535,0.398039
537,-0.147297
576,-0.604027
599,-0.705984
623,-1.387351
641,-2.813442
643,-0.761971
644,-0.55827
658,-0.075457
668,-1.389752
670,-0.880751
680,0.271121
683,-0.831606
691,-0.656918
696,0.233532
699,-1.415279
712,-2.169368
716,-1.415279
747,0.827419
781,-0.283266
803,0.462266
822,-2.097176
849,0.537157
856,0.003545
860,0.38546
885,0.145763
902,0.006152
904,0.302609
908,-0.602838
932,0.565985
950,0.066253
958,0.007883
1000,0.153493
1001,0.824783
1022,-0.800044
1033,-0.000491
1042,-3.151599
1043,0.661191
1050,0.091648
1055,0.119429
1062,0.207875
1068,0.052438
1076,-0.492423
1123,0.312056
1136,-4.337973
1137,0.258163
1145,-1.64493
1157,-0.459064
1197,-2.378879
1215,-0.585059
1218,-0.381062
1246,-2.725944
1261,-0.440523
1284,-0.191598
1305,0.258499
1340,-1.652126
1344,0.33768
1345,-2.682889
1348,-1.742799
1349,-0.963752
1350,-0.062977
1351,-1.244199
1352,-1.055747
1354,0.078202
1364,0.218229
1369,-0.301027
1370,-0.56696
1372,-0.172558
1387,0.035705
1424,-0.08214
1425,-2.71066
1432,-0.734173
1433,-0.493672
1444,-1.43864
1454,-0.471222
1468,0.364
1472,-2.91294
1487,-1.416924
1506,-1.08365
1511,-2.04635
1513,0.043134
1516,-1.922554
1531,0.143758
1562,0.306455
1581,-0.076088
1584,-0.082725
1585,0.545763
1599,0.089221
1619,-5.647663
1625,0.104832
1632,-2.624676
1672,-0.406675
1681,-0.523518
1683,-1.686472
1706,-0.048589
1732,0.507908
1743,-0.027526
1752,0.124108
1756,-0.13182
1791,-2.100757
1804,-1.749751
1809,-1.812077
1871,-1.803244
1894,0.09043
1902,0.327211
1907,1.150773
1919,-0.404799
1940,-0.043289
1948,-0.034522
1964,-1.319308
1966,-0.046963
1970,0.440764
1981,-1.795607
1983,-0.075178
2001,-0.0683
2004,-0.380447
2005,0.401643
2013,-0.857456
2027,0.214588
2031,-0.418288
2033,-0.323803
2051,-0.172773
2054,-1.002774
2065,0.036484
2066,-1.023717
2077,0.133503
2094,-2.592767
2115,-0.007387
2137,0.599879
2155,-0.365629
2221,0.258875
2233,-0.087632
2251,-0.192593
2268,0.053368
2282,0.622299
2284,-0.745283
2287,-0.659249
2291,0.357926
2319,-0.891251
2322,0.188335
2323,0.128042
2336,-0.038433
2344,-0.412069
2382,-0.077028
2384,0.35229
2396,-2.439266
2398,-4.431739
2404,-0.452499
2414,0.085213
2421,0.772695
2441,-0.121663
2448,0.496068
2463,-1.509409
2466,0.122283
2475,0.023763
2490,-0.122795
2502,0.161166
2541,-0.304421
2548,1.175789
2577,0.558686
2594,-1.779264
2595,0.267301
2642,0.379051
2643,-0.097271
2659,-0.242059
2668,-0.408208
2673,-0.695235
2678,0.084072
2694,-1.385074
2697,-2.478609
2698,0.131835
2705,-0.204826
2706,0.125858
2758,0.656078
2763,0.144779
2828,0.848567
2838,-0.432275
2851,0.344056
2885,0.718088
2888,0.002911
2891,0.125155
2898,-0.315545
2902,-0.785355
2904,-0.976457
2910,0.360442
2914,-0.226296
2917,-1.890036
2924,-1.415279
2927,-0.073573
2952,0.307273
2954,0.586871
2993,-0.456419
3026,-0.86137
3032,-0.095758
3041,0.014259
3058,0.17911
3065,-0.36588
3083,-0.369624
3088,0.471199
3096,0.817087
3101,0.54966
3132,-1.150476
3154,-0.71377
3157,-0.245736
3159,0.110361
3178,0.232659
3179,-1.012655
3197,-1.763595
3199,0.020313
3207,0.463013
3208,-0.045361
3217,-1.194237
3222,-0.451824
3227,0.006803
3231,-1.329866
3239,0.282948
3240,-0.059366
3241,-0.565745
3242,0.288163
3256,-0.865226
3270,-0.10913
3276,0.365462
