rank,player_id,first_name,last_name,theta,games,zurich_games,zurich_teams
116,265542,Валерий,Лесин,-0.576397,56,56,14
117,267894,Дмитрий,Узилевский,-0.576414,89,88,14
118,306977,Александр,Пирко,-0.57906,36,34,8
119,317670,Нина,Жарикова,-0.58885,27,26,4
120,82551,Татьяна,Герасимова,-0.592063,29,12,2
121,264248,Абдулазиз,Разаков,-0.593503,16,16,5
122,278208,Наталия,Сизова,-0.598499,15,15,4
123,305160,Анна,Дермичёва,-0.610391,35,34,8
124,280422,Константин,Чаркин,-0.615234,90,89,8
125,308340,Светлана,Кучумова,-0.620467,21,21,2
126,307637,Ирина,Гаврилина,-0.625663,34,34,4
127,305161,Евгений,Колосов,-0.637426,56,55,9
128,278207,Дмитрий,Сизов,-0.650582,21,21,7
129,301362,Софья,Добрынина,-0.664562,62,61,14
130,304708,Алиса,Шакурова,-0.665649,36,36,13
131,195651,Егор,Кравченко,-0.687175,61,53,12
132,309714,Валентин,Лиждвой,-0.705344,23,22,4
133,309715,Мария,Ходякова,-0.705344,23,22,4
134,280809,Илья,Наземцев,-0.731129,56,54,10
135,306869,Никита,Розенберг-Траутман,-0.759127,43,39,8
136,278612,Святослав,Борисов,-0.784981,45,45,5
137,331105,Анна,Амброзевич,-0.82646,12,12,1
138,330115,Улугбек,Абдуллаев,-0.845293,18,18,2
139,331104,Екатерина,Тахтамышева,-0.856915,15,15,1
140,329004,Мария,Фридман,-0.965797,29,29,4
