name,logloss,brier,auc,logloss_offline,brier_offline,auc_offline,logloss_sync,brier_sync,auc_sync,logloss_async,brier_async,auc_async,n_test_obs,n_test_games,elapsed_sec,config_json
baseline_t6,0.60188,0.201788,0.81449,0.648938,0.20887,0.874094,0.588655,0.201406,0.817165,0.587058,0.196697,0.785018,4447820,1719,274.4,"{'eta0': 0.1, 'rho': 0.9995, 'w_online': 0.5, 'w_offline': 1.0, 'w_sync': 0.9, 'w_online_questions': 0.45, 'w_online_log_a': 0.05, 'w_sync_mode': 1.0, 'w_async_mode': 0.3, 'w_sync_residual': 0.9, 'w_async_residual': 0.6, 'eta_mu': 0.005, 'eta_eps': 0.03, 'reg_mu_type': 0.1, 'reg_eps': 0.2, 'reg_theta': 0.0, 'reg_b': 0.0, 'reg_log_a': 0.0, 'use_calendar_decay': False, 'rho_calendar': 0.99, 'decay_period_days': 7.0, 'cold_init_factor': 1.0, 'use_tournament_delta': True, 'use_delta_type_prior': False}"
reg_theta_0.01,0.609555,0.20438,0.81319,0.666492,0.214077,0.874026,0.593528,0.203344,0.816807,0.591668,0.198323,0.783513,4447820,1719,255.5,"{'eta0': 0.1, 'rho': 0.9995, 'w_online': 0.5, 'w_offline': 1.0, 'w_sync': 0.9, 'w_online_questions': 0.45, 'w_online_log_a': 0.05, 'w_sync_mode': 1.0, 'w_async_mode': 0.3, 'w_sync_residual': 0.9, 'w_async_residual': 0.6, 'eta_mu': 0.005, 'eta_eps': 0.03, 'reg_mu_type': 0.1, 'reg_eps': 0.2, 'reg_theta': 0.01, 'reg_b': 0.0, 'reg_log_a': 0.0, 'use_calendar_decay': False, 'rho_calendar': 0.99, 'decay_period_days': 7.0, 'cold_init_factor': 1.0, 'use_tournament_delta': True, 'use_delta_type_prior': False}"
