rank,player_id,first_name,last_name,theta,games,zurich_games,zurich_teams
117,116753,Светлана,Ворошилова,-0.104465,59,2,1
118,34270,Павел,Худяков,-0.104618,527,1,1
119,51860,Дмитрий,Курамин,-0.105137,97,1,1
120,225967,Иван,Ульянов,-0.106138,130,128,16
121,148665,Глеб,Манаев,-0.107677,86,6,5
122,26592,Виктория,Райскина,-0.109131,36,1,1
123,11804,Антон,Злотский,-0.10991,410,2,1
124,38487,Екатерина,Бугаева,-0.111605,416,3,1
125,86860,Анна,Образцова,-0.114561,92,1,1
126,151997,Павел,Слепушкин,-0.114592,148,98,1
127,26513,Александр,Радионов,-0.114748,1003,101,12
128,9535,Анна,Долгая,-0.115419,231,228,2
129,198499,Ирина,Карпова,-0.11639,72,70,2
130,175087,Ирина,Александрова,-0.116392,10,1,1
131,17177,Лина,Кулакова,-0.118829,233,233,3
132,3344,Дмитрий,Бибичков,-0.122259,530,5,2
133,198042,Игорь,Кресло,-0.122661,227,1,1
134,267833,Виктория,Лоскутова,-0.123198,30,25,15
135,97731,Давид,Парулава,-0.124397,26,12,7
136,56736,Арсений,Савин,-0.125064,226,205,3
137,23956,Ирина,Пак,-0.127853,303,287,14
138,9046,Игорь,Демидов,-0.128835,43,42,11
139,264624,Наталья,Велти,-0.135238,15,2,2
140,194834,Анна,Начёса,-0.135685,106,87,11
141,246977,Вероника,Бережная,-0.137161,19,1,1
142,210866,Олег,Морен,-0.14156,34,3,3
143,192718,Ксения,Александрова,-0.144801,57,17,13
144,28015,Алексей,Сальников,-0.149814,37,1,1
145,71644,Владислав,Власенко,-0.15085,235,2,1
146,185036,Екатерина,Шершнёва,-0.153986,91,1,1
147,170637,Владимир,Стариков,-0.156445,16,1,1
148,148933,Кристина,Редеша,-0.156619,15,1,1
149,79211,Елена,Бондарь,-0.161938,8,6,6
150,269529,Антон,Максимов,-0.163471,16,14,9
151,71445,Дмитрий,Щелчков,-0.171598,15,15,8
152,74129,Ольга,Солодская,-0.174403,22,18,3
153,199536,Алексей,Могилевский,-0.174746,180,125,8
154,13682,Дмитрий,Карягин,-0.175869,301,289,15
155,48525,Карина,Мельницкая,-0.179431,2,2,1
156,79434,Светлана,Майборода,-0.181197,111,7,1
157,100187,Максим,Моисейкин,-0.183153,272,1,1
158,117732,Вероника,Тихонова,-0.183434,466,2,1
159,228761,Вадим,Чашечников,-0.198127,24,5,2
160,199535,Людмила,Фокина,-0.200203,162,109,6
161,228763,Диана,Скоринкина,-0.202274,20,4,1
162,219958,Анна,Дектярёва,-0.203334,43,25,11
163,10475,Эдуард,Ермак,-0.206996,16,5,5
164,7056,Дмитрий,Гиренко,-0.207336,302,254,14
165,3213,Павел,Березовский,-0.209748,3,3,3
166,130041,Павел,Пономарёв,-0.211929,268,127,10
167,95344,Татьяна,Ганева,-0.212132,597,2,1
168,276327,Александр,Семенюк,-0.21281,9,9,4
169,95592,Дмитрий,Ворошнин,-0.21751,424,1,1
170,276320,Кирилл,Пучков,-0.219752,18,19,4
171,34058,Елена,Холманских,-0.22687,96,93,6
172,10212,Владислав,Егоров,-0.229251,96,93,4
173,162983,Юрий,Горалски,-0.233986,1196,2,2
174,185073,Ксения,Бычкова,-0.235533,42,14,7
175,76452,Александр,Косенков,-0.241166,78,76,13
176,229922,Илья,Литвинов,-0.242639,13,12,7
177,144360,Андрей,Афанасьев,-0.243048,105,97,6
178,275545,Анна,Ефимова,-0.246404,30,14,10
179,154827,Пётр,Кравник,-0.246458,108,74,23
180,183106,Марина,Булах,-0.250456,178,154,16
181,218139,Виктория,Федоренко,-0.254432,81,1,1
182,264251,Мария,Веннинг,-0.256022,10,8,6
183,62314,Любовь,Беляева,-0.256435,77,75,12
184,217577,Елизавета,Мельникова,-0.266902,32,7,3
185,82449,Семён,Сидоров,-0.26708,165,162,6
186,220043,Елена,Лазарева,-0.269397,854,1,1
187,5607,Юлия,Виноградова,-0.271831,125,1,1
188,148924,Константин,Кондратьев,-0.283844,430,3,2
189,210304,Дарья,Дзендзик,-0.29173,15,4,1
190,270708,Петр,Павленко,-0.296151,54,54,7
191,76350,Надежда,Червинская,-0.300351,59,49,5
192,191317,Евгений,Кошелев,-0.30049,188,182,24
193,157223,Наталия,Рудович,-0.302981,43,17,9
194,7481,Юрий,Гольдфайн,-0.3056,78,1,1
195,270707,Мария,Стефова,-0.305802,64,64,8
196,11064,Анваржон,Жураев,-0.307044,306,297,18
197,154056,Татьяна,Киняпина,-0.310004,191,137,18
198,129325,Даниил,Дмитриев,-0.314329,111,79,10
199,278552,Мария,Марамыгина,-0.325541,78,1,1
200,272995,Николай,Ханеня,-0.325553,49,49,25
201,129171,Андрей,Дмитровский,-0.325784,12,11,3
202,102115,Анатолий,Куликов,-0.325826,52,17,3
203,29098,Ольга,Силина,-0.327718,2,2,1
204,270247,Валерий,Мальцев,-0.33553,27,15,5
205,117128,Станислав,Юнович,-0.337294,236,171,13
206,284276,Ульяна,Точило,-0.343313,20,20,3
207,271384,Яна,Михайлова,-0.34787,13,13,7
208,68434,Ася,Вальтман,-0.34903,16,14,6
209,300627,Сергей,Штейман,-0.358049,11,11,8
210,148925,Татьяна,Кондратьева,-0.361025,203,2,1
211,278492,Сергей,Бордя,-0.36513,18,18,1
212,123939,Сергей,Жаховский,-0.369891,139,79,12
213,5583,Алексей,Виноградов,-0.384432,248,2,1
214,270539,Анастасия,Белошабская,-0.386989,87,88,12
215,269527,Дмитрий,Толмачев,-0.39251,23,23,16
216,271388,Александра,Гаража,-0.410466,47,45,10
217,278494,Ирина,Веремеенко,-0.4106,42,40,5
218,300239,Карина,Литвинова,-0.411795,31,30,14
219,275139,Лита,Нгуен,-0.416598,70,70,3
220,175003,Алёна,Никольская,-0.420776,107,104,18
221,300238,Георгий,Майшмаз,-0.422631,43,42,15
222,198784,Вероника,Морозова,-0.426793,154,1,1
223,114871,Дарья,Мартынова,-0.434144,146,99,10
224,142176,Дмитрий,Калинин,-0.43923,18,2,1
225,171846,Антон,Парамонов,-0.443505,80,28,1
226,171979,Григор,Геворгян,-0.449459,52,45,5
227,222899,Наталья,Гаганова,-0.461617,54,52,11
228,138685,Улугбек,Абдуллаев,-0.46501,24,21,12
229,96163,Александр,Таран,-0.470104,138,124,23
230,278206,Анастасия,Кучук,-0.494692,41,40,19
231,333443,Дмитрий,Рудыка,-0.497918,13,13,7
232,298616,Александр,Розин,-0.500394,13,13,11
233,70728,Сара,Гарифуллина,-0.50463,98,1,1
