best_auc,best_brier,best_epoch,best_val_loss,dl_scale_async,dl_scale_onsite,dl_scale_sync,last_auc,last_brier,last_epoch,last_val_loss,status,top_players,transform
0.860000,0.150200,6,0.462700,0.269516,0.212393,0.213669,0.860700,0.149800,11,0.463400,ok,37212:3.6565;75055:3.0856;178445:2.4534,linear
0.860100,0.150100,6,0.462600,0.963431,0.881365,0.796586,0.860800,0.149800,11,0.463300,ok,37212:3.6820;75055:3.0659;178445:2.4516,log1p
0.860100,0.150100,6,0.462600,0.792839,0.720089,0.663063,0.860800,0.149800,11,0.463300,ok,37212:3.7027;75055:3.0722;178445:2.4443,power
